"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"254","The Cheesy Poofs","1","119.8","2026","1986","","","","","","","N/A","N/A","N/A","70-7-0","0.909"
"2056","OP Robotics","2","117.5","2012","1974","","","","","","","N/A","N/A","N/A","41-9-0","0.820"
"27","Team RUSH","3","102.8","1923","1899","","","","","","","N/A","N/A","N/A","65-20-0","0.765"
"469","Las Guerrillas","4","101.6","1916","1893","","","","","","","N/A","N/A","N/A","69-20-0","0.775"
"2485","Overclocked","5","99.5","1903","1882","","","","","","","N/A","N/A","N/A","40-10-0","0.800"
"1625","Winnovation","6","99.3","1902","1881","","","","","","","N/A","N/A","N/A","40-10-0","0.800"
"1718","The Fighting Pi","7","97.5","1891","1871","","","","","","","N/A","N/A","N/A","53-16-0","0.768"
"359","Hawaiian Kids","8","96.5","1885","1866","","","","","","","N/A","N/A","N/A","54-13-0","0.806"
"1114","Simbotics","9","95.6","1879","1862","","","","","","","N/A","N/A","N/A","61-11-0","0.847"
"148","Robowranglers","10","94.7","1874","1857","","","","","","","N/A","N/A","N/A","54-12-0","0.818"
"180","S.P.A.M.","11","94","1870","1853","","","","","","","N/A","N/A","N/A","38-9-0","0.809"
"2590","Nemesis","12","93.8","1869","1853","","","","","","","N/A","N/A","N/A","59-17-0","0.776"
"2451","PWNAGE","13","93.1","1864","1849","","","","","","","N/A","N/A","N/A","36-13-0","0.735"
"1986","Team Titanium","14","92.8","1863","1847","","","","","","","N/A","N/A","N/A","42-9-0","0.824"
"1678","Citrus Circuits","15","92.6","1861","1846","","","","","","","N/A","N/A","N/A","69-7-0","0.908"
"195","CyberKnights","16","91.8","1856","1842","","","","","","","N/A","N/A","N/A","48-16-0","0.750"
"33","Killer Bees","17","91.6","1855","1841","","","","","","","N/A","N/A","N/A","72-16-0","0.818"
"118","Robonauts","18","90","1846","1833","","","","","","","N/A","N/A","N/A","58-8-0","0.879"
"67","The HOT Team","19","89.7","1844","1831","","","","","","","N/A","N/A","N/A","75-21-0","0.781"
"1507","Warlocks","20","89.6","1843","1831","","","","","","","N/A","N/A","N/A","33-13-0","0.717"
"16","Bomb Squad","21","89.2","1840","1829","","","","","","","N/A","N/A","N/A","43-7-0","0.860"
"624","CRyptonite","22","87","1827","1817","","","","","","","N/A","N/A","N/A","42-14-0","0.750"
"3539","Byting Bulldogs","23","86.4","1824","1815","","","","","","","N/A","N/A","N/A","44-19-0","0.698"
"1918","NC GEARS","24","85.3","1817","1809","","","","","","","N/A","N/A","N/A","57-26-0","0.687"
"836","The RoboBees","25","84.5","1812","1805","","","","","","","N/A","N/A","N/A","38-11-0","0.776"
"368","Team Kika Mana","26","83.4","1805","1799","","","","","","","N/A","N/A","N/A","37-14-0","0.725"
"399","Eagle Robotics","27","82.9","1802","1796","","","","","","","N/A","N/A","N/A","51-14-0","0.785"
"842","Falcon Robotics","28","82.6","1800","1795","","","","","","","N/A","N/A","N/A","21-9-0","0.700"
"971","Spartan Robotics","29","82.5","1800","1795","","","","","","","N/A","N/A","N/A","47-5-0","0.904"
"987","HIGHROLLERS","30","81.6","1795","1790","","","","","","","N/A","N/A","N/A","35-11-0","0.761"
"2137","The Oxford RoboCats","31","81.6","1794","1790","","","","","","","N/A","N/A","N/A","46-17-0","0.730"
"610","Crescent Coyotes","32","81.5","1794","1789","","","","","","","N/A","N/A","N/A","37-12-0","0.755"
"1023","Bedford Express","33","81.3","1793","1788","","","","","","","N/A","N/A","N/A","57-23-0","0.713"
"3476","Code Orange","34","80.4","1787","1784","","","","","","","N/A","N/A","N/A","31-15-0","0.674"
"125","NUTRONs","35","80","1785","1781","","","","","","","N/A","N/A","N/A","69-29-0","0.704"
"68","Truck Town Thunder","36","79.6","1782","1779","","","","","","","N/A","N/A","N/A","45-30-0","0.600"
"2175","The Fighting Calculators","37","78.4","1775","1773","","","","","","","N/A","N/A","N/A","33-11-0","0.750"
"1756","Argos","38","78","1773","1771","","","","","","","N/A","N/A","N/A","34-12-0","0.739"
"1717","D'Penguineers","39","77.8","1771","1770","","","","","","","N/A","N/A","N/A","36-12-0","0.750"
"2959","Robotarians","40","77.6","1770","1769","","","","","","","N/A","N/A","N/A","46-25-0","0.648"
"2337","EngiNERDs","41","77.4","1769","1768","","","","","","","N/A","N/A","N/A","62-23-0","0.729"
"4265","Secret City Wildbots","42","77.2","1768","1767","","","","","","","N/A","N/A","N/A","20-9-0","0.690"
"868","TechHOUNDS","43","76.9","1766","1766","","","","","","","N/A","N/A","N/A","41-24-0","0.631"
"3683","Team DAVE","44","76.7","1765","1765","","","","","","","N/A","N/A","N/A","32-14-0","0.696"
"1619","Up-A-Creek Robotics","45","76.7","1765","1764","","","","","","","N/A","N/A","N/A","27-6-0","0.818"
"3494","The Quadrangles","46","76.7","1765","1764","","","","","","","N/A","N/A","N/A","22-12-0","0.647"
"846","The Funky Monkeys","47","76.6","1764","1764","","","","","","","N/A","N/A","N/A","32-13-0","0.711"
"1775","Tigerbytes","48","76.5","1763","1763","","","","","","","N/A","N/A","N/A","31-14-0","0.689"
"51","Wings of Fire","49","76.1","1761","1762","","","","","","","N/A","N/A","N/A","43-22-0","0.662"
"1241","THEORY6","50","76","1761","1761","","","","","","","N/A","N/A","N/A","52-33-0","0.612"
"2338","Gear It Forward","51","75.9","1760","1761","","","","","","","N/A","N/A","N/A","23-11-0","0.676"
"107","Team R.O.B.O.T.I.C.S.","52","75.8","1759","1760","","","","","","","N/A","N/A","N/A","52-21-0","0.712"
"193","MORT Beta","53","75.8","1759","1760","","","","","","","N/A","N/A","N/A","50-31-0","0.617"
"314","The Megatron Oracles","54","75.8","1759","1760","","","","","","","N/A","N/A","N/A","65-23-0","0.739"
"3393","Horns of Havoc","55","75.3","1757","1758","","","","","","","N/A","N/A","N/A","51-16-0","0.761"
"4488","Shockwave","56","75.3","1756","1757","","","","","","","N/A","N/A","N/A","60-15-0","0.800"
"4039","MakeShift Robotics","57","74.9","1754","1755","","","","","","","N/A","N/A","N/A","38-10-0","0.792"
"2252","The Mavericks","58","74.8","1753","1755","","","","","","","N/A","N/A","N/A","30-16-0","0.652"
"293","SPIKE","59","74.7","1753","1754","","","","","","","N/A","N/A","N/A","24-24-0","0.500"
"71","Team Hammond","60","74.4","1751","1753","","","","","","","N/A","N/A","N/A","18-14-0","0.563"
"2067","Apple Pi","61","74.4","1751","1753","","","","","","","N/A","N/A","N/A","42-32-0","0.568"
"3145","TeraViks","62","73.7","1747","1749","","","","","","","N/A","N/A","N/A","12-5-0","0.706"
"3467","Windham Windup","63","73.3","1744","1747","","","","","","","N/A","N/A","N/A","46-17-0","0.730"
"910","The Foley Freeze","64","73.3","1744","1747","","","","","","","N/A","N/A","N/A","63-33-0","0.656"
"3688","Norsemen","65","73.2","1744","1747","","","","","","","N/A","N/A","N/A","26-18-0","0.591"
"330","The Beach Bots","66","73.2","1744","1747","","","","","","","N/A","N/A","N/A","33-14-0","0.702"
"1477","Texas Torque","67","73.1","1743","1746","","","","","","","N/A","N/A","N/A","31-19-0","0.620"
"1538","The Holy Cows","68","72.8","1741","1744","","","","","","","N/A","N/A","N/A","25-17-0","0.595"
"225","TechFire","69","72.6","1740","1744","","","","","","","N/A","N/A","N/A","58-23-0","0.716"
"234","Cyber Blue","70","72.4","1739","1743","","","","","","","N/A","N/A","N/A","23-13-0","0.639"
"4334","Alberta Tech Alliance (ATA)","71","72.4","1739","1742","","","","","","","N/A","N/A","N/A","32-16-0","0.667"
"1318","Issaquah Robotics Society","72","72","1736","1740","","","","","","","N/A","N/A","N/A","67-19-0","0.779"
"2122","Team Tators","73","71.8","1735","1740","","","","","","","N/A","N/A","N/A","36-10-0","0.783"
"1261","Robo Lions Team1261","74","71.8","1735","1739","","","","","","","N/A","N/A","N/A","24-13-0","0.649"
"364","Team Fusion 364","75","71.8","1735","1739","","","","","","","N/A","N/A","N/A","21-5-0","0.808"
"1519","Mechanical Mayhem","76","71.6","1734","1738","","","","","","","N/A","N/A","N/A","46-17-0","0.730"
"2907","Lion Robotics","77","71.4","1733","1738","","","","","","","N/A","N/A","N/A","44-21-0","0.677"
"188","Blizzard","78","71.3","1732","1737","","","","","","","N/A","N/A","N/A","33-18-0","0.647"
"4509","Mechanical Bulls","79","71.1","1731","1736","","","","","","","N/A","N/A","N/A","7-4-0","0.636"
"2013","Cybergnomes","80","70.9","1729","1735","","","","","","","N/A","N/A","N/A","42-18-0","0.700"
"3018","Nordic Storm","81","70.3","1726","1732","","","","","","","N/A","N/A","N/A","32-13-0","0.711"
"4077","M*A*S*H","82","69.9","1723","1729","","","","","","","N/A","N/A","N/A","42-20-0","0.677"
"2363","Triple Helix Robotics","83","69.7","1722","1729","","","","","","","N/A","N/A","N/A","33-8-0","0.805"
"1065","The Moose","84","69.7","1722","1729","","","","","","","N/A","N/A","N/A","15-13-0","0.536"
"1319","Flash","85","69.1","1719","1726","","","","","","","N/A","N/A","N/A","27-9-0","0.750"
"3098","Waterford Robotics","86","68.8","1717","1724","","","","","","","N/A","N/A","N/A","45-20-0","0.692"
"494","Martians","87","68.8","1717","1724","","","","","","","N/A","N/A","N/A","57-23-0","0.713"
"341","Miss Daisy","88","68.8","1717","1724","","","","","","","N/A","N/A","N/A","55-34-0","0.618"
"558","Elm City Robo Squad","89","68.7","1716","1724","","","","","","","N/A","N/A","N/A","58-27-0","0.682"
"1806","S.W.A.T.","90","68.6","1716","1723","","","","","","","N/A","N/A","N/A","33-17-0","0.660"
"3824","HVA RoHAWKtics","91","68.5","1715","1723","","","","","","","N/A","N/A","N/A","28-12-0","0.700"
"2054","Tech Vikes","92","68.4","1714","1722","","","","","","","N/A","N/A","N/A","43-18-0","0.705"
