"num","team","total_points","auto_points","teleop_points","endgame_points","auto_coral","auto_coral_points","teleop_coral","teleop_coral_points","coral_l1","coral_l2","coral_l3","coral_l4","total_coral_points","processor_algae","processor_algae_points","net_algae","net_algae_points","total_algae_points","total_game_pieces"
"2056","OP Robotics","120.1","31.6","76.1","12.4","4","28.6","21.5","54.8","4.7","5.9","5.8","5","83.4","0.5","1.6","4.9","19.7","21.3","26.9"
"2910","Jack in the Bot","114.1","28.4","72.8","13","4","25.3","22","55.4","6.4","5.9","5.3","4.3","80.6","1","3","3.6","14.4","17.4","26.5"
"1323","MadTown Robotics","112","27.6","72","12.4","3.6","24.5","20.7","57.8","6.2","5.6","5.4","5","82.3","0.2","0.6","3.4","13.6","14.2","25.7"
"1690","Orbit","107.7","32.6","63.5","11.7","4.2","29.5","21.1","50.7","7.9","5.5","4.6","4.2","80.3","0.7","2","2.7","10.7","12.8","25.6"
"1678","Citrus Circuits","105.8","27","66.6","12.2","3.5","24","17.5","51.7","2.9","5.5","5.8","4.7","75.7","0.8","2.5","3.1","12.5","14.9","22.8"
"118","Robonauts","104.8","20","72.7","12","2.5","17","19.6","59.2","3.6","5.8","5.7","4.8","76.2","0.9","2.7","2.7","10.8","13.5","23.5"
"2481","Roboteers","99.4","25","63.3","11.2","3.3","21.7","19.9","56.9","4.9","5.6","5.7","4.6","78.6","-0.2","-0.6","1.8","7","6.4","22.3"
"5940","BREAD","98.6","22.8","65.3","10.6","2.8","19.8","17","53.6","1.7","5.5","5.6","5","73.4","1.3","3.8","2","7.9","11.6","21.1"
"1796","RoboTigers","98.1","25.8","60.4","11.9","3.4","22.7","15.7","46.1","0.7","5.2","5.4","4.7","68.9","1.2","3.4","2.7","10.8","14.2","19.9"
"4678","CyberCavs","98","26.4","61.5","10.1","3.3","23.2","19","55.5","3.8","5.4","5.2","5.5","78.7","0.3","0.9","1.3","5.1","6","21.5"
"3683","Team DAVE","97.7","26.7","65.7","5.4","3.3","23.7","16","47.1","2.3","4","5.1","5.4","70.7","0.6","1.8","4.2","16.9","18.6","21.6"
"694","StuyPulse","97.2","24.2","58.8","14.1","3.1","21","16.3","47.5","2.1","4.9","5.2","4.6","68.5","1.1","3.2","2","8.2","11.4","19.9"
"7457","suPURDUEper Robotics","96.4","24.5","61.7","10.2","3.2","21.5","18.2","51.4","3.1","5.2","5.3","4.7","72.9","0.4","1.2","2.3","9.2","10.3","21.1"
"422","The Mech Tech Dragons","95.6","20.4","61.9","13.3","2.5","17.3","18.3","51.6","3.7","5.4","4.8","4.3","68.9","0.5","1.5","2.2","8.8","10.3","20.8"
"4414","HighTide","94.3","20.1","66","8.2","2.5","16.8","18.8","54.7","5.5","4.5","5","4.5","71.5","0.2","0.6","2.7","10.7","11.3","22.3"
